name,artist,cover_url,album_url
Fooled by a Dream,ALESTI,https://i.scdn.co/image/ab67616d0000b27304a191efa511ee508fbba27f,https://open.spotify.com/album/1LOoUu9btp2yETvh72uYG3
Broken Boy Soldiers,The Raconteurs,https://i.scdn.co/image/ab67616d0000b273ce4f5f441b17d9594afea1b5,https://open.spotify.com/album/4o1jHCrMnkiRMdFpyCnNaH
Good News For People Who Love Bad News,Modest Mouse,https://i.scdn.co/image/ab67616d0000b273cc68329bfbf34037df965dc1,https://open.spotify.com/album/0TGTGuc2vXv6ZECoAf52N0
A Kiss / Forever Always,THE DRIVER ERA,https://i.scdn.co/image/ab67616d0000b27333b3a5d2a9e1d561226a4943,https://open.spotify.com/album/1EovH6yGXTWQZolWuQdsWN
Form - EP,Battle Tapes,https://i.scdn.co/image/ab67616d0000b2731e8656e32ae5e6498b8194f8,https://open.spotify.com/album/2HteCpWX59nQdx0ctm8lkO
Ultra Mega Love,Foreign Air,https://i.scdn.co/image/ab67616d0000b273189de3178bac19243e96ee46,https://open.spotify.com/album/4yPVVNxHDLA0H8ZZjwtlxr
Cage The Elephant,Cage The Elephant,https://i.scdn.co/image/ab67616d0000b27373a791d2e07cdd53ba932f6e,https://open.spotify.com/album/2vs5faN4o8NCNXAGLh3HJf
White Blood Cells,The White Stripes,https://i.scdn.co/image/ab67616d0000b2739f5013e0918c4cab46dc0c37,https://open.spotify.com/album/6ivqUxtSPTljd9Frfdyxbg
Young The Giant (Special Edition),Young the Giant,https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153,https://open.spotify.com/album/2ww7MYrkExsljnKhcINDse
The Singles Collection,Silversun Pickups,https://i.scdn.co/image/ab67616d0000b273a83c888181fd5c45b926acd9,https://open.spotify.com/album/2m0063PKiyLZ0NQNEOhzHv
a modern tragedy vol. 1,grandson,https://i.scdn.co/image/ab67616d0000b273fa78a51a07cb7bf1ce9febe4,https://open.spotify.com/album/2hjeKa2x3W9F8GwlqBKBWV
Prescription Kid,KID BRUNSWICK,https://i.scdn.co/image/ab67616d0000b273aff9e1a2289e5941d1b03dfd,https://open.spotify.com/album/1fR0QXuE9xmQwvQKkYcNpi
Goliath,Woodkid,https://i.scdn.co/image/ab67616d0000b273ba134b964a5818f3f84b7274,https://open.spotify.com/album/7vPSAjh9MnOSPVp0O4JeCA
This Is All Yours,alt-J,https://i.scdn.co/image/ab67616d0000b27311b3df35e2e46d91f585afd9,https://open.spotify.com/album/4oktVvRuO1In9B7Hz0xm0a
Melophobia,Cage The Elephant,https://i.scdn.co/image/ab67616d0000b273c707823ed5683c77b37b121d,https://open.spotify.com/album/4EK8gtQfdVsmDTji7gBFlz
Siamese Dream (Deluxe Edition),The Smashing Pumpkins,https://i.scdn.co/image/ab67616d0000b2735274788f34fc7656d2856dfd,https://open.spotify.com/album/0bQglEvsHphrS19FGODEGo
Wolfgang Amadeus Phoenix,Phoenix,https://i.scdn.co/image/ab67616d0000b2732734934f36a17722c5faa058,https://open.spotify.com/album/6YXmQrXOjJoMheJ2IA5NqK
Third Eye Blind,Third Eye Blind,https://i.scdn.co/image/ab67616d0000b2734139c9208eeed67d2a211beb,https://open.spotify.com/album/2gToC0XAblE9h3UZD6aAaQ
Sublime,Sublime,https://i.scdn.co/image/ab67616d0000b2738fc4b0dcfb9509553f195c85,https://open.spotify.com/album/14eK347GdWO4mBBx78tsut
Commit This To Memory,Motion City Soundtrack,https://i.scdn.co/image/ab67616d0000b27385a14a0a61f764b46cf69acd,https://open.spotify.com/album/14cwHpqeVuYbwQxmY5tgQT
Astronaut (Something About Your Love),Mansionair,https://i.scdn.co/image/ab67616d0000b27392e69e57dc11bd8ad6f2796c,https://open.spotify.com/album/7gXdTAAzBuXqTV2kxSIPAk
Get Born,Jet,https://i.scdn.co/image/ab67616d0000b273d06bd6d3b1f258ba2bca597a,https://open.spotify.com/album/6NrLpQCPYrNS3kVWxDgIlg
Opaline,Dishwalla,https://i.scdn.co/image/ab67616d0000b2730584c99ef68e4cee25d92a8a,https://open.spotify.com/album/30ovRiMwvlgNVkB0cCfaOb
Rockstar Everyday,Halflives,https://i.scdn.co/image/ab67616d0000b27382fa6c46686063b643490d6e,https://open.spotify.com/album/00KzovYDVMVdpK0rTDALcT
Is This It,The Strokes,https://i.scdn.co/image/ab67616d0000b27313f2466b83507515291acce4,https://open.spotify.com/album/2k8KgmDp9oHrmu0MIj4XDE
Hot Fuss,The Killers,https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49,https://open.spotify.com/album/4undIeGmofnAYKhnDclN1w
All the Right Reasons,Nickelback,https://i.scdn.co/image/ab67616d0000b27307fb7d8037f3962394c493ca,https://open.spotify.com/album/3eZd2XbhLyPcgbgcsLTZh3
Oracular Spectacular,MGMT,https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb,https://open.spotify.com/album/6mm1Skz3JE6AXneya9Nyiv
Blind Melon,Blind Melon,https://i.scdn.co/image/ab67616d0000b2737ed1df1690df31d094d7c2bc,https://open.spotify.com/album/55jET4vDioHHd7ztX7OX3h
The Colour And The Shape,Foo Fighters,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b,https://open.spotify.com/album/30ly6F6Xl0TKmyBCU50Khv
From Under The Cork Tree,Fall Out Boy,https://i.scdn.co/image/ab67616d0000b273d9416936eba3b0bd8351b056,https://open.spotify.com/album/0L0mzP8RGm5SNlwgZfBuxW
Nothing's Shocking,Jane's Addiction,https://i.scdn.co/image/ab67616d0000b2738765ac8eae3b054a1750419d,https://open.spotify.com/album/4DVBJPJyizvHfJQt5pYaCa
Superunknown (Deluxe Edition),Soundgarden,https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d,https://open.spotify.com/album/29sTacnS0qA9xri6YS8xLA
Get Born,Jet,https://i.scdn.co/image/ab67616d0000b273d06bd6d3b1f258ba2bca597a,https://open.spotify.com/album/6NrLpQCPYrNS3kVWxDgIlg
Vampire Weekend,Vampire Weekend,https://i.scdn.co/image/ab67616d0000b2739cca0d695187fbeed4ee301b,https://open.spotify.com/album/7JcfNKXoHSaog85a1hd4lx
Permission to Land,The Darkness,https://i.scdn.co/image/ab67616d0000b273cfc0369fca487d12600962ec,https://open.spotify.com/album/6vW9ZDllNv87WHXS3XTjlM
14 Shades of Grey,Staind,https://i.scdn.co/image/ab67616d0000b27302a1d72dbb73423edb1408be,https://open.spotify.com/album/6PntFOrFJdHpXE9xzjhkyR
Ga Ga Ga Ga Ga,Spoon,https://i.scdn.co/image/ab67616d0000b2736b1c8c07f5aa4c0ffd7af5ac,https://open.spotify.com/album/6zEGEx2ZXpiLczrpu5wWqu
Somewhere Nowhere / Bottle It Up,Hundredth,https://i.scdn.co/image/ab67616d0000b273e7efc30b8ea50d48bf466f3f,https://open.spotify.com/album/5Yd0a6Ma2Lwob4wJsOqt2k
Lungs (Deluxe Edition),Florence + The Machine,https://i.scdn.co/image/ab67616d0000b2730672b0f8756ae2af86e8a5ce,https://open.spotify.com/album/2FgknX5e7fJlriQtxvpLhZ
Purple,Stone Temple Pilots,https://i.scdn.co/image/ab67616d0000b273a6e07487251d331f8a68b553,https://open.spotify.com/album/2vi1ddPi3fY7vePMqxUVob
Sigh No More,Mumford & Sons,https://i.scdn.co/image/ab67616d0000b273cd874e988ed15f2859705217,https://open.spotify.com/album/7KkiEooAVT3EyqQMOl6Iah
No. 4,Stone Temple Pilots,https://i.scdn.co/image/ab67616d0000b273b6b955741846e463b2f96caa,https://open.spotify.com/album/0NgdZp0Z9HGsowYxPBYQSV
"$1,000,000",BAD CHILD,https://i.scdn.co/image/ab67616d0000b273fd05af4662adb46e1683ab2e,https://open.spotify.com/album/4EAvGpdY7AqhTcMxd2RLLx
Is This It,The Strokes,https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79,https://open.spotify.com/album/2yNaksHgeMQM9Quse463b5
Never Trust a Happy Song,Grouplove,https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b,https://open.spotify.com/album/3oylWMc9TTC6Nx4I6U3axc
Hold My Home,Cold War Kids,https://i.scdn.co/image/ab67616d0000b273b1c18903012347d9991613da,https://open.spotify.com/album/2H09itV5a5yUcGyk9u9HwY
Riot!,Paramore,https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb,https://open.spotify.com/album/71rziY9eLo1tA2dBMxrwhc
Blonde,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf
...Is A Real Boy,Say Anything,https://i.scdn.co/image/ab67616d0000b27377464c4ac1c1f1861f5f336f,https://open.spotify.com/album/7JNdSN2KnFApyFE836pdUS
