name,artist,cover_url,album_url
To Know You Is To Love You,B.B. King,https://i.scdn.co/image/ab67616d0000b273c9a676137b6726fe035e814a,https://open.spotify.com/album/1ZpLpF64iCjoc0XVrO1sEl
Bluesbreakers,John Mayall & The Bluesbreakers,https://i.scdn.co/image/ab67616d0000b273b14775da6594fa88d8a48ea2,https://open.spotify.com/album/4uMyXOoFbUQX3qWWIN1xjZ
Play - Piano Blues,Various Artists,https://i.scdn.co/image/ab67616d0000b27305bb2d77eb00162e31f20832,https://open.spotify.com/album/6SjfNP8KpSKP3VT353fmCf
Anthology,B.B. King,https://i.scdn.co/image/ab67616d0000b2738e7c609abcb90ae04db9b2a8,https://open.spotify.com/album/1LzYzoyDpRjM8o5GDha0yN
Somebody Loan Me A Dime,Fenton Robinson,https://i.scdn.co/image/ab67616d0000b273ae1ecd7f5e670ec70964c546,https://open.spotify.com/album/7axF99v0pP2oBj5RxAWgrv
Layla And Other Assorted Love Songs (Super Deluxe Edition),Derek & The Dominos,https://i.scdn.co/image/ab67616d0000b273de974959818dbd2795982faf,https://open.spotify.com/album/79u2ZsF3EcnpDO29gBfIQu
Born Under A Bad Sign (Mono),Albert King,https://i.scdn.co/image/ab67616d0000b27353d060bca8e1bfe646f09ef7,https://open.spotify.com/album/0Ez9S8Dhzr1fa6ZCkcIJiR
King Of The Electric Blues,Muddy Waters,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,https://open.spotify.com/album/4fOVcN7X7vQ8L41is621uJ
Soul Meeting,King Curtis,https://i.scdn.co/image/ab67616d0000b27383b61f08cd8b9f6d7fac4885,https://open.spotify.com/album/33dHef3M2lMzuLeU2BdGJ4
The Essential Sonny Boy Williamson,Sonny Boy Williamson II,https://i.scdn.co/image/ab67616d0000b273c422d821295b0fb11f9b6406,https://open.spotify.com/album/4DF0rg3dCm8qKrVCpZWIDc
Live And Well,B.B. King,https://i.scdn.co/image/ab67616d0000b27319a3b9c7824139d35bc9458c,https://open.spotify.com/album/7jvyHnOBFvdGtskk6QmlEi
Best of the Blues,B.B. King,https://i.scdn.co/image/ab67616d0000b27322c797a1e65668f9af89e900,https://open.spotify.com/album/6cSKF632jLwOAxZ341XS8f
Bloomfield-A Retrospective,Mike Bloomfield,https://i.scdn.co/image/ab67616d0000b273fc718cd06ffd8431925f14f2,https://open.spotify.com/album/5ZkaY6CcFUidEuWc41o9b2
Super Black Blues,T-Bone Walker,https://i.scdn.co/image/ab67616d0000b273fb111fb9a3f1089b944ff8e9,https://open.spotify.com/album/7ckZ6eL53qiORTynQpDXlu
Two Bugs And A Roach,Earl Hooker,https://i.scdn.co/image/ab67616d0000b2736b233ccf231600cab7220e34,https://open.spotify.com/album/4OnXvgvHOupLeSaEVU8hpk
Nina Simone Sings The Blues (Expanded Edition),Nina Simone,https://i.scdn.co/image/ab67616d0000b2738c1edace3ab711d2963dfdc8,https://open.spotify.com/album/12aKG91Tj6hJFOe90TzcX2
Deuces Wild,B.B. King,https://i.scdn.co/image/ab67616d0000b273c024bf13878ba1f1594d2abd,https://open.spotify.com/album/1FjjqjCi8StDDQdHY5sGSZ
20th Century Masters: The Millennium Collection: Best of Buddy Guy,Buddy Guy,https://i.scdn.co/image/ab67616d0000b273c61b2ecfcb88b26d5af5d8c4,https://open.spotify.com/album/3iXDIrZsFitJCltwmfkrks
Knockin' Myself Out (Live),Mike Bloomfield,https://i.scdn.co/image/ab67616d0000b2733280da246cd13632effed267,https://open.spotify.com/album/49Bqck2lmXS42rTij4TnWb
Hooker,John Lee Hooker,https://i.scdn.co/image/ab67616d0000b273a99afd699e2de98df3f45b7c,https://open.spotify.com/album/3QSRtkfas8Gr0vDByhFvkE
Harp and Soul - Best of Little Walter,Little Walter,https://i.scdn.co/image/ab67616d0000b2733a90d14c0f4f43512396f697,https://open.spotify.com/album/1xjnylRzqd2xtSiT7BJwc3
Deluxe Edition,Albert Collins,https://i.scdn.co/image/ab67616d0000b27343d3dfc47879c663d5864e7c,https://open.spotify.com/album/3MSyCHOkBoZQT2byE3vprN
Give It Up (Remastered Version),Bonnie Raitt,https://i.scdn.co/image/ab67616d0000b273e0ac4c3ecdadb568d49d85eb,https://open.spotify.com/album/6ry5iI1ik4H2DvoiWhluYh
Indianola Mississippi Seeds,B.B. King,https://i.scdn.co/image/ab67616d0000b273dac4fc8f79d08515f048ddc7,https://open.spotify.com/album/1NgGj5ECcDELHjoQRX2P1l
Rock N' Roll Legends (International Version),Bo Diddley,https://i.scdn.co/image/ab67616d0000b273d868ab2e08be149a25f3c44c,https://open.spotify.com/album/0X8E5lUCriTpvGa6dudywW
The Essential Otis Rush,Otis Rush,https://i.scdn.co/image/ab67616d0000b2730cbe1cd9eab0af72e95507a4,https://open.spotify.com/album/2xRWG3ikjf8O1tiQxJCW68
Otis Spann Is The Blues,Otis Spann,https://i.scdn.co/image/ab67616d0000b273d64266d75b74803c2475cb8a,https://open.spotify.com/album/1gOYJ8uvSBe021ieQL2z9f
An Introduction To Sonny Terry and Brownie McGhee,Sonny Terry and Brownie McGhee,https://i.scdn.co/image/ab67616d0000b27307bb2549aa1582fada3b12d7,https://open.spotify.com/album/46z58ENhZzwAsRmvADLSKS
The Cream Of Clapton,Eric Clapton,https://i.scdn.co/image/ab67616d0000b27333375d550893179db5077892,https://open.spotify.com/album/64hcdH7h8noDQg9Zr5COkc
All The '50s Hits,Muddy Waters,https://i.scdn.co/image/ab67616d0000b273f68529c037e743881e825153,https://open.spotify.com/album/3T3ILYTiO0Jh3a6X9bjc8Z
Original Album Classics,Nina Simone,https://i.scdn.co/image/ab67616d0000b27301ca4f477becce85351a40b8,https://open.spotify.com/album/18X8IOPx0N2QweFxd4RJwM
Hide Away - The Best of Freddy King,Freddie King,https://i.scdn.co/image/ab67616d0000b2731a662f813a04e5377ad807a7,https://open.spotify.com/album/1GeU5trVUdTzwa6xNKqJtl
The Final Sessions,Elmore James,https://i.scdn.co/image/ab67616d0000b27347640563a55f82f934a1c96c,https://open.spotify.com/album/7ijHDB8tnUPeJs8fDqEE8Z
Burnin',John Lee Hooker,https://i.scdn.co/image/ab67616d0000b273a359e57b14e2961fd4b9764c,https://open.spotify.com/album/3H0HdocoAAEEfiDfcRZauz
The Best of Sonny Boy Williamson,Sonny Boy Williamson II,https://i.scdn.co/image/ab67616d0000b273fbf3e7ec6351f7c21b5559bf,https://open.spotify.com/album/61UHGSjWaVxXVaMu6Akp6N
Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),Willie Dixon,https://i.scdn.co/image/ab67616d0000b27300a4008af1d4630c52988367,https://open.spotify.com/album/5kOOtdwY3JI17osYqWEbnD
Johnny Winter,Johnny Winter,https://i.scdn.co/image/ab67616d0000b27305e6346e31e001003b24cb21,https://open.spotify.com/album/5RNAJslV8AaTq2gM5JJ9Ch
The Roots of Led Zeppelin,Various Artists,https://i.scdn.co/image/ab67616d0000b273bfb58202ab004f8301d2af27,https://open.spotify.com/album/2COvDjzoJTRf7Nliwcygz7
Bad News Is Coming,Luther Allison,https://i.scdn.co/image/ab67616d0000b2735d57a5f0229d2ffd56e8ae1f,https://open.spotify.com/album/7wTiVd5wU0aFVXxceOsvHT
Anthology,B.B. King,https://i.scdn.co/image/ab67616d0000b2738e7c609abcb90ae04db9b2a8,https://open.spotify.com/album/1LzYzoyDpRjM8o5GDha0yN
The Essential Magic Sam: The Cobra and Chief Recordings 1957-1961,Magic Sam,https://i.scdn.co/image/ab67616d0000b2732595674886b1fa5ed0b4e696,https://open.spotify.com/album/5pwsqaIx7UFtjXU3HiF1Nv
