name,artist,cover_url,album_url
Saint-Saens: Carnival of the Animals: The Swan,Camille Saint-Saens,https://i.scdn.co/image/ab67616d0000b2730f554ebde761482faecb143a,https://open.spotify.com/album/3SbOSz7UrUpxok03YjX5YI
Solemn Hearts,Daniel Paterok,https://i.scdn.co/image/ab67616d0000b273332d818a4286b1c61fe76a6f,https://open.spotify.com/album/3Cplh8N2ZUeScKqoNQ0LSq
"Debussy: Estampes, Pour le piano, Piano Works",Claude Debussy,https://i.scdn.co/image/ab67616d0000b273f23ea1f0c7c83de632a74e88,https://open.spotify.com/album/7jCCOwIktM4dGS6YfQuqTq
Classically Yours,Carol Comune,https://i.scdn.co/image/ab67616d0000b2738eeafb93970ef6409e2e9219,https://open.spotify.com/album/7cBavTUj0UO3Rx1cQpU2RW
"Benjamin Grosvenor: Chopin, Liszt, Ravel",Benjamin Grosvenor,https://i.scdn.co/image/ab67616d0000b27365e7e8e0fa2278bda76698a6,https://open.spotify.com/album/5MyejkHGSoo5IfTum4VMiw
Chopin: Etudes,Frederic Chopin,https://i.scdn.co/image/ab67616d0000b2730efe3515dce80e656e0c2e07,https://open.spotify.com/album/3OUQNvIRDG3ioZP3FgiIuz
J.S. Bach: Violin Concertos Nos. 1 & 2; Partita No. 2,Johann Sebastian Bach,https://i.scdn.co/image/ab67616d0000b273623e583e95f7b64a43dff4ea,https://open.spotify.com/album/5lQVGn4oJtpkASsLgdBldK
sahdana,ildio,https://i.scdn.co/image/ab67616d0000b2733041dc285e477f32a6e8d1ba,https://open.spotify.com/album/7pn4A1Cyta0u8c3K55JBHr
Master Of The Guitar,Pepe Romero,https://i.scdn.co/image/ab67616d0000b27344181d2b1ff0042839e70870,https://open.spotify.com/album/38u57zBwztK64W0US9TiCm
"Bach, J.S.: The Cello Suites (2 CDs)",Johann Sebastian Bach,https://i.scdn.co/image/ab67616d0000b27368c8a966658abbe8b3d867c3,https://open.spotify.com/album/6gSu76p4srXyEbIlaJKvU6
DANCE: I. when you're broken up,Anna Clyne,https://i.scdn.co/image/ab67616d0000b27328079556b285539b3aa88029,https://open.spotify.com/album/49oIZCjEBlSC0UbJ87EGtk
Paganini: Diabolus in Musica,Niccolo Paganini,https://i.scdn.co/image/ab67616d0000b2736382b69c1f60dc3b601c9262,https://open.spotify.com/album/42D7p6GFqqzzBaRWWi70Tv
Islands - Essential Einaudi,Ludovico Einaudi,https://i.scdn.co/image/ab67616d0000b2739d706d33e975dfa107e11b1e,https://open.spotify.com/album/7k1Ki5pYinGM3lME2Tv3AM
"Beethoven: ""Moonlight"" Sonata - The Works",Ludwig van Beethoven,https://i.scdn.co/image/ab67616d0000b27319a709b54595ad73ed5aea24,https://open.spotify.com/album/0kCV0FhVneeGUB20C0ADX5
Vivaldi: The Four Seasons,Antonio Vivaldi,https://i.scdn.co/image/ab67616d0000b2738094df3aa05d71f1f3ba042e,https://open.spotify.com/album/27tIQgXyX4MYMv99X8f9v1
Seven Days Walking,Ludovico Einaudi,https://i.scdn.co/image/ab67616d0000b273940a1931de313e942aace803,https://open.spotify.com/album/5Otajf16kZ0zkVZWhu7LtO
Herbert von Karajan - Adagio,Berliner Philharmoniker,https://i.scdn.co/image/ab67616d0000b2739e6c7eaec846ada82a14900c,https://open.spotify.com/album/3bZNMJ7G1Sc42wCuAsZElP
Essential Saint-Saens,Camille Saint-Saens,https://i.scdn.co/image/ab67616d0000b2736c56bf506ec6acb3327a6faf,https://open.spotify.com/album/2R2VQ2Tg4q8FWb7Xkiog4R
Coleridge-Taylor: Sometimes I Feel Like a Motherless Child,Samuel Coleridge-Taylor,https://i.scdn.co/image/ab67616d0000b273d6fa09bf9d2cae7f87149c52,https://open.spotify.com/album/3sGam4Z6TfW3MWsfG9zpP7
Sheku Kanneh-Mason,Sheku Kanneh-Mason,https://i.scdn.co/image/ab67616d0000b27330adbb2eb5791ea64328716f,https://open.spotify.com/album/4acUoXCarbvGhgd8Rqt2Ka
"Grieg: Lyric Pieces Book III, Op.43, 6. To Spring",Edvard Grieg,https://i.scdn.co/image/ab67616d0000b273e9e3d9b63bd86a7cd77a0b11,https://open.spotify.com/album/0GEghsnzvnNrQKxiTHahDc
