name,artist,cover_url,album_url
747,Lady A,https://i.scdn.co/image/ab67616d0000b273228954c1b2b3ee5e31031e68,https://open.spotify.com/album/1JHNRou038CfCC0RZztDz8
Blake Shelton,Blake Shelton,https://i.scdn.co/image/ab67616d0000b2731716c34342160479d07aef9c,https://open.spotify.com/album/4BRHk20nhD24APuvO9PvC8
Clancy's Tavern,Toby Keith,https://i.scdn.co/image/ab67616d0000b27331b5266ec683455e35d31860,https://open.spotify.com/album/0sndIMIlhlgn1eyavXRK1C
This Bar,Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273e70ffdde3943774eb814d165,https://open.spotify.com/album/7ECYCGhOOD7VZHjxP2Lzck
The Incredible Machine,Sugarland,https://i.scdn.co/image/ab67616d0000b273a5eb87ae91a4e2235c8fec75,https://open.spotify.com/album/6tRJWFLsUW4HuiXHlOSnwf
This One's for You Too (Deluxe Edition),Luke Combs,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78,https://open.spotify.com/album/53Oa5Bu0UTU8o8qCTaHKoz
The Hits,Faith Hill,https://i.scdn.co/image/ab67616d0000b2733ee43d5dbf7da3e65be844b3,https://open.spotify.com/album/7fvl3dOnDrv9rq5IBmLbAa
Let It Go,Tim McGraw,https://i.scdn.co/image/ab67616d0000b27356b5fdffb99d338431b093df,https://open.spotify.com/album/47bt3mVEJg8ei4lhB8xjQo
Kane Brown (Deluxe Edition),Kane Brown,https://i.scdn.co/image/ab67616d0000b273c7ee084acfc2d7ca0b112b5c,https://open.spotify.com/album/4UoCJkoqgUmaWMiWifq4vp
Tip Jar,Jackson Michelson,https://i.scdn.co/image/ab67616d0000b2731546044db436f949694e6479,https://open.spotify.com/album/5c5wbtWMKqs9xLYMTGuLxb
Country Heat 2020,Various Artists,https://i.scdn.co/image/ab67616d0000b273c619c9902cfd2fb9fd6df9a1,https://open.spotify.com/album/1e5nxkaTfCgmnnO7214hDY
Red (Deluxe Edition),Taylor Swift,https://i.scdn.co/image/ab67616d0000b273a7613d346501b828b56a0bc3,https://open.spotify.com/album/1KlU96Hw9nlvqpBPlSqcTV
This One's for You,Luke Combs,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298,https://open.spotify.com/album/1lhNch5NkOONvFhRPh8qaj
American Saturday Night,Brad Paisley,https://i.scdn.co/image/ab67616d0000b273d2993421bef048e835974055,https://open.spotify.com/album/0GCQzPEkcFv8bR90sJf41x
Doin' Somethin' Right,Billy Currington,https://i.scdn.co/image/ab67616d0000b2735ca80b7dafc3dcf967431b54,https://open.spotify.com/album/01XmoBPJ8VwC6IyOEvGhy5
