album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,key,loudness,modality,energy,valence,speechiness,genre,rgb,color-name,color-hex
5sIvIsXTXfwoMEBVk1xCqm,Remember-This,image-data/pop/Remember-This-Jonas-Brothers.jpg,Jonas-Brothers,6nACZEZIt1CIBmF09r5Pb5,Remember-This,72,False,0.669,1,-5.018,0,0.629,0.294,0.0803,pop,"(17.90360912710954, 17.33000442449908, 18.44128057644902)",black,#111112
5chBPOVY2I0bG5V3igb5QL,Havana,image-data/pop/Havana-Camila-Cabello.jpg,Camila-Cabello,0ofbQMrRDsUaVKq2mGLEAb,Havana,1,False,0.768,7,-4.323,0,0.517,0.418,0.0312,pop,"(219.98928472028942, 57.16601725577512, 74.31900918452547)",crimson,#db394a
6Vtd35xUUyiFApy5kFdqVu,To-Be-Loved-By-You,image-data/country/To-Be-Loved-By-You-Parker-McCollum.jpg,Parker-McCollum,5Ykc3Wr4L4wef5QDdaaxM7,To-Be-Loved-By-You,64,False,0.473,10,-4.497,1,0.802,0.45299999999999996,0.037000000000000005,country,"(242.11633620540505, 246.52382435378388, 248.69317277414444)",whitesmoke,#f2f6f8
7biYYE7qSAio4uZozAWHnQ,Piano-Recordings-1951-1966,image-data/classical/Piano-Recordings-1951-1966-Maire-Halava.jpg,Maire-Halava,3uuycIU137OvabLBGiJllc,"Laguunilla,-Op.-67-6",0,False,0.34,1,-22.385,1,0.0428,0.0926,0.0343,classical,"(227.4518178749429, 228.5591827008995, 228.0102261670737)",gainsboro,#e3e4e4
0rSLgV8p5FzfnqlEk4GzxE,Closer,image-data/pop/Closer-The-Chainsmokers.jpg,The-Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,Closer,84,False,0.748,8,-5.599,1,0.524,0.6609999999999999,0.0338,pop,"(213.82246034652226, 213.15391138435447, 202.15986663326078)",lightgray,#d5d5ca
4ZDBQSIDIZRUBOG2OHcN3T,Vol.-3:-The-Subliminal-Verses,image-data/heavy-metal/Vol.-3:-The-Subliminal-Verses-Slipknot.jpg,Slipknot,61mWefnWQOLf90gepjOCb3,Duality,76,False,0.354,4,-3.0260000000000002,0,0.982,0.19399999999999998,0.168,heavy-metal,"(8.462110815678875, 6.432648597649885, 6.2783471995883)",black,#080606
6Zumf6wFEd0VHxHIUoMXhX,Stop-Making-This-Hurt,image-data/indie/Stop-Making-This-Hurt-Bleachers.jpg,Bleachers,32srSGuuy12hEhrD2iCIIK,Stop-Making-This-Hurt,67,False,0.669,0,-4.735,1,0.885,0.825,0.0438,indie,"(40.87538523382018, 35.14049309928983, 37.35970789226853)",darkslategray,#282325
1IFwB37JXLhIh53bSBBMbI,Ring-Ring,image-data/kpop/Ring-Ring-Rocket-Punch.jpg,Rocket-Punch,1LmAeYKwK2BA2FFUMyTXD2,Ring-Ring,59,False,0.58,9,-2.918,1,0.9179999999999999,0.442,0.0529,kpop,"(220.27727295053782, 212.4914779704308, 205.1131686232133)",lightgray,#dcd4cd
05jPqj8eV3n5KmX8M0J3Cp,Boogieee,image-data/hip-hop/Boogieee-Cico-P.jpg,Cico-P,3dyDNfDnkAWPVWWbQ8YdH8,Boogieee,47,True,0.802,6,-6.51,0,0.645,0.344,0.247,hip-hop,"(128.46498241125678, 5.813787747270317, 7.599502032984603)",maroon,#800507
4PKWiKrLawmFhLpCs07cdZ,Dreams,image-data/edm/Dreams-Gorgon-City.jpg,Gorgon-City,3Cr68uQVLNrup0hThBomHX,Dreams,54,False,0.6709999999999999,6,-5.232,0,0.897,0.493,0.0298,edm,"(232.42092655962097, 228.81031850486968, 221.69789418267965)",gainsboro,#e8e4dd
