album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,energy,key,loudness,modality,energy,valence,speechiness,genre,dominant-h,dominant-s,dominant-v
5sIvIsXTXfwoMEBVk1xCqm,Remember-This,image-data/pop/Remember-This-Jonas-Brothers.jpg,Jonas-Brothers,6nACZEZIt1CIBmF09r5Pb5,Remember-This,72,False,0.669,0.629,1,-5.018,0,0.629,0.294,0.0803,pop,18.441280576449024,17.33000442449908,17.90360912710954
5chBPOVY2I0bG5V3igb5QL,Havana,image-data/pop/Havana-Camila-Cabello.jpg,Camila-Cabello,0ofbQMrRDsUaVKq2mGLEAb,Havana,1,False,0.768,0.517,7,-4.323,0,0.517,0.418,0.0312,pop,74.31900918452547,57.16601725577512,219.98928472028945
6Vtd35xUUyiFApy5kFdqVu,To-Be-Loved-By-You,image-data/country/To-Be-Loved-By-You-Parker-McCollum.jpg,Parker-McCollum,5Ykc3Wr4L4wef5QDdaaxM7,To-Be-Loved-By-You,64,False,0.473,0.802,10,-4.497,1,0.802,0.453,0.037,country,248.69317277414444,246.52382435378388,242.11633620540505
7biYYE7qSAio4uZozAWHnQ,Piano-Recordings-1951-1966,image-data/classical/Piano-Recordings-1951-1966-Maire-Halava.jpg,Maire-Halava,3uuycIU137OvabLBGiJllc,"Laguunilla,-Op.-67-6",0,False,0.34,0.0428,1,-22.385,1,0.0428,0.0926,0.0343,classical,228.01022616707374,228.5591827008995,227.45181787494292
0rSLgV8p5FzfnqlEk4GzxE,Closer,image-data/pop/Closer-The-Chainsmokers.jpg,The-Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,Closer,84,False,0.748,0.524,8,-5.599,1,0.524,0.661,0.0338,pop,202.15986663326075,213.15391138435447,213.82246034652226
4ZDBQSIDIZRUBOG2OHcN3T,Vol.-3:-The-Subliminal-Verses,image-data/heavy-metal/Vol.-3:-The-Subliminal-Verses-Slipknot.jpg,Slipknot,61mWefnWQOLf90gepjOCb3,Duality,76,False,0.354,0.982,4,-3.026,0,0.982,0.194,0.168,heavy-metal,6.2783471995883,6.432648597649884,8.462110815678876
6Zumf6wFEd0VHxHIUoMXhX,Stop-Making-This-Hurt,image-data/indie/Stop-Making-This-Hurt-Bleachers.jpg,Bleachers,32srSGuuy12hEhrD2iCIIK,Stop-Making-This-Hurt,67,False,0.669,0.885,0,-4.735,1,0.885,0.825,0.0438,indie,37.359707892268524,35.14049309928983,40.87538523382018
1IFwB37JXLhIh53bSBBMbI,Ring-Ring,image-data/kpop/Ring-Ring-Rocket-Punch.jpg,Rocket-Punch,1LmAeYKwK2BA2FFUMyTXD2,Ring-Ring,59,False,0.58,0.918,9,-2.918,1,0.918,0.442,0.0529,kpop,205.1131686232133,212.49147797043076,220.27727295053785
05jPqj8eV3n5KmX8M0J3Cp,Boogieee,image-data/hip-hop/Boogieee-Cico-P.jpg,Cico-P,3dyDNfDnkAWPVWWbQ8YdH8,Boogieee,47,True,0.802,0.645,6,-6.51,0,0.645,0.344,0.247,hip-hop,7.599502032984603,5.813787747270318,128.46498241125678
4PKWiKrLawmFhLpCs07cdZ,Dreams,image-data/edm/Dreams-Gorgon-City.jpg,Gorgon-City,3Cr68uQVLNrup0hThBomHX,Dreams,54,False,0.671,0.897,6,-5.232,0,0.897,0.493,0.0298,edm,221.69789418267965,228.8103185048697,232.42092655962097
6Z6QdCXb3IBonAUSwLP4iB,By-Your-Side-(feat.-Tom-Grennan),image-data/edm/By-Your-Side-(feat.-Tom-Grennan)-Calvin-Harris.jpg,Calvin-Harris,0vR2rIVORmgeKiGIgNT0fV,By-Your-Side-(feat.-Tom-Grennan),86,False,0.733,0.96,7,-3.597,1,0.96,0.811,0.0295,edm,15.117823019912493,188.5096883650326,230.63063666398784
