album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,energy,key,loudness,modality,energy,valence,speechiness,genre
5sIvIsXTXfwoMEBVk1xCqm,Remember-This,image-data/pop/Remember-This-Jonas-Brothers.jpg,Jonas-Brothers,6nACZEZIt1CIBmF09r5Pb5,Remember-This,72,False,0.669,0.629,1,-5.018,0,0.629,0.294,0.0803,pop
5chBPOVY2I0bG5V3igb5QL,Havana,image-data/pop/Havana-Camila-Cabello.jpg,Camila-Cabello,0ofbQMrRDsUaVKq2mGLEAb,Havana,1,False,0.768,0.517,7,-4.323,0,0.517,0.418,0.0312,pop
6Vtd35xUUyiFApy5kFdqVu,To-Be-Loved-By-You,image-data/country/To-Be-Loved-By-You-Parker-McCollum.jpg,Parker-McCollum,5Ykc3Wr4L4wef5QDdaaxM7,To-Be-Loved-By-You,64,False,0.473,0.802,10,-4.497,1,0.802,0.453,0.037,country
7biYYE7qSAio4uZozAWHnQ,Piano-Recordings-1951-1966,image-data/classical/Piano-Recordings-1951-1966-Maire-Halava.jpg,Maire-Halava,3uuycIU137OvabLBGiJllc,"Laguunilla,-Op.-67-6",0,False,0.34,0.0428,1,-22.385,1,0.0428,0.0926,0.0343,classical
0rSLgV8p5FzfnqlEk4GzxE,Closer,image-data/pop/Closer-The-Chainsmokers.jpg,The-Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,Closer,84,False,0.748,0.524,8,-5.599,1,0.524,0.661,0.0338,pop
4ZDBQSIDIZRUBOG2OHcN3T,Vol.-3:-The-Subliminal-Verses,image-data/heavy-metal/Vol.-3:-The-Subliminal-Verses-Slipknot.jpg,Slipknot,61mWefnWQOLf90gepjOCb3,Duality,76,False,0.354,0.982,4,-3.026,0,0.982,0.194,0.168,heavy-metal
6Zumf6wFEd0VHxHIUoMXhX,Stop-Making-This-Hurt,image-data/indie/Stop-Making-This-Hurt-Bleachers.jpg,Bleachers,32srSGuuy12hEhrD2iCIIK,Stop-Making-This-Hurt,67,False,0.669,0.885,0,-4.735,1,0.885,0.825,0.0438,indie
1IFwB37JXLhIh53bSBBMbI,Ring-Ring,image-data/kpop/Ring-Ring-Rocket-Punch.jpg,Rocket-Punch,1LmAeYKwK2BA2FFUMyTXD2,Ring-Ring,59,False,0.58,0.918,9,-2.918,1,0.918,0.442,0.0529,kpop
05jPqj8eV3n5KmX8M0J3Cp,Boogieee,image-data/hip-hop/Boogieee-Cico-P.jpg,Cico-P,3dyDNfDnkAWPVWWbQ8YdH8,Boogieee,47,True,0.802,0.645,6,-6.51,0,0.645,0.344,0.247,hip-hop
4PKWiKrLawmFhLpCs07cdZ,Dreams,image-data/edm/Dreams-Gorgon-City.jpg,Gorgon-City,3Cr68uQVLNrup0hThBomHX,Dreams,54,False,0.671,0.897,6,-5.232,0,0.897,0.493,0.0298,edm
6Z6QdCXb3IBonAUSwLP4iB,By-Your-Side-(feat.-Tom-Grennan),image-data/edm/By-Your-Side-(feat.-Tom-Grennan)-Calvin-Harris.jpg,Calvin-Harris,0vR2rIVORmgeKiGIgNT0fV,By-Your-Side-(feat.-Tom-Grennan),86,False,0.733,0.96,7,-3.597,1,0.96,0.811,0.0295,edm
3XoemveVVhEFXWbWgyzKem,SS501-스페셜-앨범,image-data/kpop/SS501-스페셜-앨범-SS501.jpg,SS501,4EKS4BdlS8yL7iMbE8G35Z,U-R-Man,47,False,0.81,0.905,11,-7.415,0,0.905,0.908,0.0342,kpop
0hbY1zcX84ISm2h3XlyTn5,Confrontation,image-data/edm/Confrontation-Homegrown-Syndrome.jpg,Homegrown-Syndrome,3e1Ky0YseXxGBqxjyzbfyU,Confrontation,31,False,0.824,0.646,4,-11.556,0,0.646,0.708,0.134,edm
3cWywjglsOprND0106Mv1s,Die-by-the-Blade,image-data/heavy-metal/Die-by-the-Blade-Beast-In-Black.jpg,Beast-In-Black,7G0n4t8Ul5r0BpS2lw5hYT,Die-by-the-Blade,0,False,0.552,0.864,8,-6.523,0,0.864,0.898,0.0375,heavy-metal
00UsuOsS3TvApV8OH4ba6P,i-miss-new-york,image-data/edm/i-miss-new-york-warner-case.jpg,warner-case,1BbrIpVnqNzTJqBBYvfgkY,i-miss-new-york,44,False,0.751,0.673,5,-10.677,1,0.673,0.511,0.213,edm
0fm7SRk4ucI8nYt2UINwDS,Final-Breath,image-data/metal/Final-Breath-The-Browning.jpg,The-Browning,2VK9R7kmVxqsmdNPDC6JDT,Final-Breath,34,False,0.137,0.946,7,-4.629,1,0.946,0.171,0.099,metal
4nXBMHX7WGzRYtvj3kE9Vb,RELOAD-[reloaded],image-data/edm/RELOAD-[reloaded]-Kaleena-Zanders.jpg,Kaleena-Zanders,1BcpbBKe8IEziSopTh2m1v,RELOAD-(reloaded-by-Lee-Wilson),42,False,0.654,0.86,11,-4.702,0,0.86,0.858,0.0344,edm
5Yd0a6Ma2Lwob4wJsOqt2k,Somewhere-Nowhere---Bottle-It-Up,image-data/alternative/Somewhere-Nowhere---Bottle-It-Up-Hundredth.jpg,Hundredth,57Pyz11Pq4oFn5BoD0VhHi,Somewhere-Nowhere,15,False,0.265,0.869,1,-4.022,1,0.869,0.284,0.0777,alternative
43iBTEWECK7hSnE0p6GgNo,The-Emancipation-of-Mimi,image-data/r-n-b/The-Emancipation-of-Mimi-Mariah-Carey.jpg,Mariah-Carey,3LmvfNUQtglbTrydsdIqFU,We-Belong-Together,70,False,0.837,0.462,0,-7.89,1,0.462,0.762,0.0601,r-n-b
6LrheEX4HOEDjAh5oj4Q9c,Hooray-For-Love,image-data/jazz/Hooray-For-Love-Curtis-Stigers.jpg,Curtis-Stigers,2bUK1EW5FPfpNDLO42XKqV,Love-Is-Here-To-Stay,51,False,0.65,0.138,7,-13.318,0,0.138,0.331,0.039,jazz
1d9fNpMEICkIPnJ3r6EG3A,The-Strange-Case-of...,image-data/rock/The-Strange-Case-of...-Halestorm.jpg,Halestorm,60rHc4AkLlP4XVSATvBb6K,I-Miss-the-Misery,60,False,0.469,0.969,0,-2.219,1,0.969,0.476,0.0589,rock
4j6uSkOxQV2KKuSiGOQCHD,X,image-data/kpop/X-CHUNG-HA.jpg,CHUNG-HA,5FOnZ5yGWaKk0bxHOigYQk,X,17,False,0.413,0.868,5,-3.427,1,0.868,0.396,0.0482,kpop
4lSXxyaYcDLGpCcF3d21Ii,The-Medicine-Man,image-data/blues/The-Medicine-Man-Keb'-Mo'.jpg,Keb'-Mo',1SlXBA2DcPeBN9beZ9u4QX,The-Medicine-Man-[Feat.-Old-Crow-Medicine-Show],52,False,0.801,0.637,0,-6.406,1,0.637,0.769,0.0565,blues
61UHGSjWaVxXVaMu6Akp6N,The-Best-of-Sonny-Boy-Williamson,image-data/blues/The-Best-of-Sonny-Boy-Williamson-Sonny-Boy-Williamson-II.jpg,Sonny-Boy-Williamson-II,4ElDh4MTi4AQsGlXdjPWQE,Nine-Below-Zero,0,False,0.374,0.528,0,-7.425,1,0.528,0.736,0.0518,blues
1rmK8B04WolOKIHezD1nhe,Push-Now,image-data/blues/Push-Now-Southern-Avenue.jpg,Southern-Avenue,3GtDS0YwsWFC2JwOw5tQWu,Push-Now,37,False,0.544,0.597,1,-7.58,0,0.597,0.616,0.0348,blues
3DxLga8esIW4kag2FGPWMI,February-Son,image-data/alternative/February-Son-Oleander.jpg,Oleander,2Y4WG7WshrpVpFh3Uveypx,I-Walk-Alone,43,False,0.377,0.742,1,-6.728,1,0.742,0.46,0.0354,alternative
741JhzvIOudONDzRg6wuWJ,At-The-BBC,image-data/jazz/At-The-BBC-Amy-Winehouse.jpg,Amy-Winehouse,1U0cCrP1EhDFlmB6CTRh5O,Teach-Me-Tonight---Live-On-Jools-Holland-Hootenanny---2004,44,False,0.454,0.326,5,-9.172,0,0.326,0.553,0.0384,jazz
6AbWKVD3idhjdTxk7BQtKe,In-Da-House,image-data/latin/In-Da-House-Proyecto-Uno.jpg,Proyecto-Uno,2GcjfckZexh9wRRjg9KtQG,Tiburon,62,False,0.879,0.718,0,-12.984,1,0.718,0.891,0.0523,latin
30Perjew8HyGkdSmqguYyg,Blood-Sugar-Sex-Magik-(Deluxe-Edition),image-data/alternative/Blood-Sugar-Sex-Magik-(Deluxe-Edition)-Red-Hot-Chili-Peppers.jpg,Red-Hot-Chili-Peppers,3d9DChrdc6BOeFsbrZ3Is0,Under-the-Bridge,80,False,0.559,0.345,4,-13.496,1,0.345,0.458,0.0459,alternative
3RZyovebrHF5y395RNRR9N,Beast-of-Gévaudan,image-data/metal/Beast-of-Gévaudan-Powerwolf.jpg,Powerwolf,1i0fcF53lHffHnDxM293On,Beast-of-Gévaudan,57,False,0.463,0.962,1,-5.697,0,0.962,0.188,0.0712,metal
