name,artist,cover_url,album_url
TIM,Avicii,https://i.scdn.co/image/ab67616d0000b273660ee24281a547103f466ff5,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ
Nobody,NOTD,https://i.scdn.co/image/ab67616d0000b273939faa21654a2c65c71f55a2,https://open.spotify.com/album/0n1BagGDuJad065Qjb7enT
Hero,Afrojack,https://i.scdn.co/image/ab67616d0000b27368c13496a915eea4d4325681,https://open.spotify.com/album/6KV17NyVQwm5PJOVwAVlyV
Going Dumb,Alesso,https://i.scdn.co/image/ab67616d0000b27379e0572c54f0afba2187c671,https://open.spotify.com/album/5IMZvYqklgYzabWtgtD74l
Leave A Little Love,Alesso,https://i.scdn.co/image/ab67616d0000b27381409778f69c4258adad7b3f,https://open.spotify.com/album/6XLHU3z6eInpudfIe5rq0r
Problems,Don Diablo,https://i.scdn.co/image/ab67616d0000b2733ef0ae75afb0ad9c0ab9e9f4,https://open.spotify.com/album/6L2C3wz8KVARtC4wqrDJTG
Higher Love,Kygo,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7,https://open.spotify.com/album/4wquJImu8RtyEuDtIAsfcE
That Feeling (feat. Hayley May),Danny Quest,https://i.scdn.co/image/ab67616d0000b273d011de6ac31ad5f169a67fb2,https://open.spotify.com/album/02w7N6Z1cgDLw2DJTWCCsn
Stay Mine,Timmy Trumpet,https://i.scdn.co/image/ab67616d0000b2730ba36962a0a6e92ff8d6399e,https://open.spotify.com/album/15v2LmWavzASn38XSzS0dO
Turn Back Time,Diplo,https://i.scdn.co/image/ab67616d0000b273546a85c1b7964b4cebfffd11,https://open.spotify.com/album/6UfQcPyvA6doqyPEd5WajQ
Love Tonight (David Guetta Remix),Shouse,https://i.scdn.co/image/ab67616d0000b27328eec1bed4fe754299ea1e96,https://open.spotify.com/album/2HYufzr6XUqSurRZdY0D9w
Everything,3LAU,https://i.scdn.co/image/ab67616d0000b273460771a72003ffccb35a568f,https://open.spotify.com/album/4hgIw8ZpU1rkGbEEwkNajV
Talamanca,BURNS,https://i.scdn.co/image/ab67616d0000b273c51ca039b07ab8e98bd776ae,https://open.spotify.com/album/1N66eMzBBNRHa3HFE6GCsW
Gotta Be You,NERVO,https://i.scdn.co/image/ab67616d0000b27329204e387d2575124fbb2811,https://open.spotify.com/album/2zzcyknjN9v95n0OYg8paf
Sideways,ILLENIUM,https://i.scdn.co/image/ab67616d0000b273f3a8dfa001aeddee23e08a01,https://open.spotify.com/album/06eiw663CL0vHSY7jvtZ3p
The Best,Hook N Sling,https://i.scdn.co/image/ab67616d0000b27312050b28b5a2c9684fe3ceb1,https://open.spotify.com/album/2EbGQOhrYnc6oAOIKh4mUl
Memories (feat. Kid Cudi) [2021 Remix],David Guetta,https://i.scdn.co/image/ab67616d0000b27332f8cf72a026af196e4ffcb4,https://open.spotify.com/album/6YjGFGvxaNPwD2sQjECHSX
Set Me Free (feat. MAX),Oliver Heldens,https://i.scdn.co/image/ab67616d0000b273d95eede0bbe928f4b48d2cc0,https://open.spotify.com/album/7Ll6kSs703zrmm60mTvw7v
Breathe (feat. kaspara),Syn Cole,https://i.scdn.co/image/ab67616d0000b27322f90195f1ac196e36ed7eac,https://open.spotify.com/album/5MYFonEyI51lu0JHBpSRfK
Pressure (feat. Tove Lo),Martin Garrix,https://i.scdn.co/image/ab67616d0000b273b3adecd5865a661d12d07b6d,https://open.spotify.com/album/5s55A56E4N7390TTEUzwKN
Silver Lining,Andrew Rayel,https://i.scdn.co/image/ab67616d0000b27375d7f38d1945c3441dfee38d,https://open.spotify.com/album/21WYCgAsF27UnSt3O9fIP0
Best Is Yet To Come (with Kyle Reynolds),Gryffin,https://i.scdn.co/image/ab67616d0000b273f9c6a9f955209705ebfd78ca,https://open.spotify.com/album/2YNA1Y8T91S15TPTzMCaFx
Seven Nation Army (The Glitch Mob Remix),The White Stripes,https://i.scdn.co/image/ab67616d0000b2738b644b0543e2816dcca897f6,https://open.spotify.com/album/6XN8b2NIomlwPOoBlILqXv
Miles To Go,Kaskade,https://i.scdn.co/image/ab67616d0000b273542b865b44602122d8cf81f5,https://open.spotify.com/album/5yxiQyMmKQmC4x9U8rfR7A
Places,Drove,https://i.scdn.co/image/ab67616d0000b273f6a9ec41109ff2a51427e49a,https://open.spotify.com/album/4f941DhLsNiB6DsqOojyhY
Take Your Time,ARTY,https://i.scdn.co/image/ab67616d0000b27302381b0c132024929279c3b7,https://open.spotify.com/album/6HBagEXptqThTlMQnxSchh
Wish You Were Here (feat. Brandyn Burnette),Afrojack,https://i.scdn.co/image/ab67616d0000b273f45db9eb2b067f9e689253b0,https://open.spotify.com/album/56jh1XYw5wQcXmcnR46LRA
Paradise,MEDUZA,https://i.scdn.co/image/ab67616d0000b273b6567be9f8b996a2b5f9b7fa,https://open.spotify.com/album/15sy3XQFShOFiDpKoxByyA
The London Sessions,Tiësto,https://i.scdn.co/image/ab67616d0000b2739759d6dfa2c19091814fccb3,https://open.spotify.com/album/6CIslPQSknp875cigkhKJC
Learn To Love Again,Audien,https://i.scdn.co/image/ab67616d0000b273a76d2756b04eeed92d97b701,https://open.spotify.com/album/442Ed4spkcuDL5gSFPwAjY
BED,Joel Corry,https://i.scdn.co/image/ab67616d0000b273420815e00e8dc4732b4fe233,https://open.spotify.com/album/2GgDZ0wSOWSD4916BWzbNX
Use Your Love (feat. Goldford),Sam Feldt,https://i.scdn.co/image/ab67616d0000b2736f6000dffce9461396770233,https://open.spotify.com/album/3uvtlLCF4HKbxG8jxxqfYr
Colours,Mat Zo,https://i.scdn.co/image/ab67616d0000b273c3e9d03dfb43f69d0bae768f,https://open.spotify.com/album/2tZ2fRh85Fj4cf3HpeCpqs
6OKI - Rave Royale EP,Steve Aoki,https://i.scdn.co/image/ab67616d0000b27330f4d330fc9f6d7a5cf8f0cc,https://open.spotify.com/album/11ibpJAfVHfwyqFOsKVenu
By Your Side (feat. Tom Grennan),Calvin Harris,https://i.scdn.co/image/ab67616d0000b27326ab76de7cfa7b953e58caee,https://open.spotify.com/album/6Z6QdCXb3IBonAUSwLP4iB
The Business,Tiësto,https://i.scdn.co/image/ab67616d0000b273f461bbc21a9bcec43a926973,https://open.spotify.com/album/2adSO4KU3FDjeM1PXCRDZm
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,https://i.scdn.co/image/ab67616d0000b273f4bfb27a5cba871dad09e26d,https://open.spotify.com/album/6kBuGNoOGE7uiPhN82dcJ1
Around The World (feat. NOUMENN),KSHMR,https://i.scdn.co/image/ab67616d0000b2735a615d57d9087cf757cd0e59,https://open.spotify.com/album/5mbOLvo8EOsUyuKStqC0aY
Through The Storm,Don Diablo,https://i.scdn.co/image/ab67616d0000b2739b0b0d0e7097115479e2be0f,https://open.spotify.com/album/4symFkdIp5MM4yxpQITTMb
Big Love (with Wrabel),Klingande,https://i.scdn.co/image/ab67616d0000b273a20c4ea37a203a921adbb57c,https://open.spotify.com/album/65E5WecAFom4a3rFAM3J2S
Say It Like You Feel It,Cash Cash,https://i.scdn.co/image/ab67616d0000b27322eb24bf6e5e4fe67ce14543,https://open.spotify.com/album/5nM1hSGJ8RcZxeWoDa1Uq1
Anything,Alison Wonderland,https://i.scdn.co/image/ab67616d0000b273d58c33753ecbe7e20fde9582,https://open.spotify.com/album/703aZZCaGU2kRGjo0pGzDL
Head & Heart (feat. MNEK),Joel Corry,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb,https://open.spotify.com/album/5glfCPECXSHzidU6exW8wO
Revolving (feat. Marc E. Bassy) [MOTi Remix],Yung Bae,https://i.scdn.co/image/ab67616d0000b2731eb3cd4544f0a8bc10b12209,https://open.spotify.com/album/0AhejjpMgoOxOX1zQOEZTz
Bridged By A Lightwave,deadmau5,https://i.scdn.co/image/ab67616d0000b27310c8acd10091286abda2808c,https://open.spotify.com/album/5GQm35tkCTK25fQmTou7Nu
Young Summer,Tungevaag,https://i.scdn.co/image/ab67616d0000b273e9057c1284b8fce6d768935f,https://open.spotify.com/album/6yXyTpttvpLCCLq7zZQASo
We'll Be Dancing Soon,Dimitri Vegas & Like Mike,https://i.scdn.co/image/ab67616d0000b273cd613d3b791f9bf8e1614b7f,https://open.spotify.com/album/42ZPtK4bxFJR5gunmSVPMe
Closer (feat. Lilly Ahlberg),Sonny Fodera,https://i.scdn.co/image/ab67616d0000b27384e0c655c0bc0717ec7596b8,https://open.spotify.com/album/17qrrXvZu8TdkH4xrIjaRr
Impossible (feat. John Martin),David Guetta,https://i.scdn.co/image/ab67616d0000b273cebd131340684a4211dcaff8,https://open.spotify.com/album/7xtz0WQBjOCXv1vgLu9vM6
Losing My Religion (feat. MKLA),Steve Aoki,https://i.scdn.co/image/ab67616d0000b27344f7d52555539b3e9a03b8d8,https://open.spotify.com/album/2jS5seVFSTaXWGJTi2Zz48
One Night Away,ARTY,https://i.scdn.co/image/ab67616d0000b273fdf167283e6253f6bc02eda7,https://open.spotify.com/album/0P3wDcYsjLvPIoYPvOPR72
Gravity,Gryffin,https://i.scdn.co/image/ab67616d0000b2730e5311993a01fb2e7169f6a7,https://open.spotify.com/album/2IAVHJdaRPFA6MQqXHoG75
You Used To,Nicky Romero,https://i.scdn.co/image/ab67616d0000b273374aff95a4a16b01c0bc3801,https://open.spotify.com/album/7vYgMBgseLvWJUa1TCyKO9
Without You,Mike Williams,https://i.scdn.co/image/ab67616d0000b273e738ababa1fd9fb71d283ce0,https://open.spotify.com/album/5S6h6XDEW1U2kC1fjOhdrB
Distant Memory (with Timmy Trumpet x W&W),R3HAB,https://i.scdn.co/image/ab67616d0000b273026ae774c7e0b0d2f685b3c2,https://open.spotify.com/album/4Hx4oAboWyR4hI1UeEHRLR
Very Important Music,Dillon Francis,https://i.scdn.co/image/ab67616d0000b273dc4e0cec9de423906c0feadb,https://open.spotify.com/album/1hSyRaCKfMvbiTXXtlHW46
Hardwell's Revealed Radio - Week 15,Hardwell,https://i.scdn.co/image/ab67616d0000b273cb99de0ad3dec5a2fa42b695,https://open.spotify.com/album/3GNp9XvxuLUOctqr0roYCF
Fake A Smile,Alan Walker,https://i.scdn.co/image/ab67616d0000b2730509a9d3c5f798b3ed5443fc,https://open.spotify.com/album/1leY6jsSJO6qjoZYUxE2fN
Bad Bitches (feat. Megan Thee Stallion),Marshmello,https://i.scdn.co/image/ab67616d0000b27325e9191a70dfa054b9829474,https://open.spotify.com/album/4M6gPtD9TwGXqZLpAcUSqJ
Wasted Love (feat. Lagique),Ofenbach,https://i.scdn.co/image/ab67616d0000b273632e5aeca45b4cf0b9c08fcc,https://open.spotify.com/album/0i72GjB523RgrjK8HUa61B
Higher Power (Tiësto Remix),Coldplay,https://i.scdn.co/image/ab67616d0000b273b98892f41cd5ab918c34daa9,https://open.spotify.com/album/31uapL5Q92IadPRWycdPKK
Neon Lights,LODATO,https://i.scdn.co/image/ab67616d0000b27390e1610d49f40b5f74d3f305,https://open.spotify.com/album/4RxUDHm3Qd2YV5lTQx0tnB
Rise,Lost Frequencies,https://i.scdn.co/image/ab67616d0000b27397af9e1f4cee5d4e16925042,https://open.spotify.com/album/48rrtJw6xklCA9GIV3Eb2L
Ma Luv,Oliver Heldens,https://i.scdn.co/image/ab67616d0000b27397d61560e135376028f734bf,https://open.spotify.com/album/7CFZSyuqggIrBjyj86wP0A
PROGRESSO VOL 2,Alesso,https://i.scdn.co/image/ab67616d0000b273820be6e5e4c4f54560c6d621,https://open.spotify.com/album/0SkgI9DVsKoNpkM7JUWaGS
Coming Home,Quintino,https://i.scdn.co/image/ab67616d0000b273feee7339505c335f087c2af2,https://open.spotify.com/album/1QxdQYatNANaOMbnWmFw3F
DREAMLAND 2021,ZHU,https://i.scdn.co/image/ab67616d0000b27319aac33b60867b442644fdf3,https://open.spotify.com/album/50QKpfridaIORN2l2hfRFI
Stars Align (with Jolin Tsai),R3HAB,https://i.scdn.co/image/ab67616d0000b2734ba910196549bf500ef8ca63,https://open.spotify.com/album/79hQ8RdrbrZDjceDsdTYm5
Sicko Drop,KVSH,https://i.scdn.co/image/ab67616d0000b273b82e003f8b13fc98bdbf756d,https://open.spotify.com/album/19WhhSvX9yW51l5R2yrJmS
Rave Love,W&W,https://i.scdn.co/image/ab67616d0000b2738d7d8c862a17331358a4cba1,https://open.spotify.com/album/2OHcuJm8NlukM33GBSQUke
Remember the Summer (feat. Karra),Ummet Ozcan,https://i.scdn.co/image/ab67616d0000b273fc3acf3fa067df8d4511832e,https://open.spotify.com/album/6B0znwNH8mpUMNgH7uO1H3
Home,Maddix,https://i.scdn.co/image/ab67616d0000b27343b6f986a0611f8e99f3704a,https://open.spotify.com/album/2sE0vAM3TaGUK11EoYBkZ3
Learn To Love Me (feat. Ryan Tedder),David Solomon,https://i.scdn.co/image/ab67616d0000b27344b76f2dfeacfcc140ff3f8a,https://open.spotify.com/album/1iWgVSKcE2Jiqixcq1qEsg
Echo (with KSHMR),Armaan Malik,https://i.scdn.co/image/ab67616d0000b2731b91d6e06291ba7b2a448b25,https://open.spotify.com/album/4Pqc9IVg6YRJPKakVOuZ2R
Skydance,W&W,https://i.scdn.co/image/ab67616d0000b273a4092bc860ff1f720c944679,https://open.spotify.com/album/7Dur0wY6jLRi0anvrDNnxu
Closer,Jaden Thompson,https://i.scdn.co/image/ab67616d0000b2730ce1b65fc3fc60dbba422bff,https://open.spotify.com/album/6XVwl4AeJhcFWOLlZiKsgO
1 Day 2 Nights,HRVY,https://i.scdn.co/image/ab67616d0000b273c9f7ef9df68cccd54b96272a,https://open.spotify.com/album/4HOViEGgltWnwKliaJHX1K
If There is Love,Laidback Luke,https://i.scdn.co/image/ab67616d0000b273f744cb8d7f1803da656b4f9e,https://open.spotify.com/album/5pfpy8N2przMVV6cOqiDAe
2031,Shermanology,https://i.scdn.co/image/ab67616d0000b273c43e55a36c4a7e06a42dc5eb,https://open.spotify.com/album/7i1PniqA2g4O6S8PWq6fCY
Come With Me (feat. Bad Boy Chiller Crew),Riton,https://i.scdn.co/image/ab67616d0000b27322812409f5cce2f1e550fbd3,https://open.spotify.com/album/3k0qGUCZz7ZLTN9v5ninSt
Call Me Papi (feat. Dawty Music),Feder,https://i.scdn.co/image/ab67616d0000b2730f9827da7fd94904c721cd0d,https://open.spotify.com/album/55BZcxEj7gn6yx7WIxZJgx
Don't Hit My Line,Aluna,https://i.scdn.co/image/ab67616d0000b273599d080c77aa0618f75d0606,https://open.spotify.com/album/4kcvM6m4TvHuLN27Nvme8Y
Encinitas,Goth Babe,https://i.scdn.co/image/ab67616d0000b2738bba7abb48e204927a32f58a,https://open.spotify.com/album/6e9X7ZNcY6gUwwhZdUQl9Z
Lose My Mind (feat. Bipolar Sunshine),Surf Mesa,https://i.scdn.co/image/ab67616d0000b273001ec3fff6aa41c9f8020a11,https://open.spotify.com/album/7HQsaFGNwdn1DagZm6lfqV
Vibe,Mike Candys,https://i.scdn.co/image/ab67616d0000b273ac29d9b46581ddc18c003935,https://open.spotify.com/album/7xAt2RbkWlsf7lp8m8wePW
Waiting For You,Anabel Englund,https://i.scdn.co/image/ab67616d0000b27328dacc9c7f21e4e51435cbac,https://open.spotify.com/album/6nNwHKu6VPH8XNSoLXOyGg
Aquatic,Nora En Pure,https://i.scdn.co/image/ab67616d0000b273f05ab30b15951d17070e73d5,https://open.spotify.com/album/1sXUPeXG3bo3norKvF2nJx
Fudge,Idris Elba,https://i.scdn.co/image/ab67616d0000b273ace601a451016669793a0cd1,https://open.spotify.com/album/4EjJO1x5dfezbOPLSP1POO
Playbox,Purple Disco Machine,https://i.scdn.co/image/ab67616d0000b2738707b6c69fdfbd7e69b38637,https://open.spotify.com/album/29TyN53CnU2go3iOWzB9dD
Chemicals,Peking Duk,https://i.scdn.co/image/ab67616d0000b2736192393b3ec1f67ef3d8a88e,https://open.spotify.com/album/1lwhfq8BkowesLrOTdZy71
The Music,Kideko,https://i.scdn.co/image/ab67616d0000b273c4f557b55f2c572a3ff39e23,https://open.spotify.com/album/4msQOmIlkiNfRYacIgk0fj
Lift Me Up,WEISS,https://i.scdn.co/image/ab67616d0000b273104855554b4d1f6ec09a29c8,https://open.spotify.com/album/5b6TihYV69YXs0p5CKnGYs
Let's Go Dancing,Shiba San,https://i.scdn.co/image/ab67616d0000b27387bb423fb4ea91f43ea2d762,https://open.spotify.com/album/3xWjUnEDKSEgQ3mAU0yjTF
Touch,VINAI,https://i.scdn.co/image/ab67616d0000b273e04f43a1e820f37558db8b00,https://open.spotify.com/album/5ik87NiTm8sIW95DZjJPUk
Good Good,Dubdogz,https://i.scdn.co/image/ab67616d0000b273dfc046fd38690d898c4441e0,https://open.spotify.com/album/1Rt8AIxAqTeLixYACMcjKc
Another Level (ft. Lovespeake),Timmy Trumpet,https://i.scdn.co/image/ab67616d0000b27336c61b0d9fcdd390107a8ae4,https://open.spotify.com/album/2xeEcUG4blN1kzZYfid0Wd
Body On My Mind,Alok,https://i.scdn.co/image/ab67616d0000b273571d579d88e4c41910ecfd07,https://open.spotify.com/album/74z7Bcwu01V3ZE2CAqrtqf
Downtown (with Kelvin Jones),R3HAB,https://i.scdn.co/image/ab67616d0000b2730e2e2ce7a8b7fe5e7595319b,https://open.spotify.com/album/0XKTTx5dsmKvSphUp8wBVS
STAND BACK (RELOADED),UNIIQU3,https://i.scdn.co/image/ab67616d0000b2735131aa973ff092d9d72a0730,https://open.spotify.com/album/3374aupZhZ7bPEgjqezXJV
"Journey to the Center of Myself, Vol. 1",Elohim,https://i.scdn.co/image/ab67616d0000b27304aaf213b2754d5465387926,https://open.spotify.com/album/5ynmB3Dh3aowJW6yUph2La
Running Away,VANO 3000,https://i.scdn.co/image/ab67616d0000b2730fa20e41b6a9c44057b7d631,https://open.spotify.com/album/6KUzeNcGEYb1oqpqY21E6Z
Losing Sleep,DVBBS,https://i.scdn.co/image/ab67616d0000b2739d46029a45caa81120b710a1,https://open.spotify.com/album/6RzE3h2wJzjU6U1CdpLsRg
Where Did You Go,Kaskade,https://i.scdn.co/image/ab67616d0000b273ecf1d77de2961569dc1d7f79,https://open.spotify.com/album/5DYxA2kmNLhwiGauOOFtPK
Blue,Audien,https://i.scdn.co/image/ab67616d0000b2739cff4d675fec641cd9d5d26d,https://open.spotify.com/album/77m2CAzG88DkuYbXZD6VM6
Lose Control,Fallon,https://i.scdn.co/image/ab67616d0000b273df9ff39b4f746f40ecda1035,https://open.spotify.com/album/7cBWx8QaTCXV08rgO2M8YN
So Much Love (feat. Lloyd Wade),Owen Westlake,https://i.scdn.co/image/ab67616d0000b273a10aadff1cf8286a42135ee5,https://open.spotify.com/album/1QxUxN95s5TmcCb72fk9cD
Middle,Noizu,https://i.scdn.co/image/ab67616d0000b273739dd1b47e45ee75b5a90c48,https://open.spotify.com/album/6xsGcIH2ZZyjQXv6YISOH0
Judgement,Ten City,https://i.scdn.co/image/ab67616d0000b273d66b7a8a209b81b77f214e32,https://open.spotify.com/album/0EugyVMjLUJEtY2ssLl1Ek
One Night Away,ARTY,https://i.scdn.co/image/ab67616d0000b27370c480a71fb284c2342e2c7c,https://open.spotify.com/album/21LVbYbk6Dupy1cmlgqsed
Ain't Nobody (feat. LaShun Pace),Bakermat,https://i.scdn.co/image/ab67616d0000b2736af921323a607070fe1c5af0,https://open.spotify.com/album/2EB62zJMobWATatn8tWCO4
