name,artist,cover_url,album_url
Am I Evil?,Diamond Head,https://i.scdn.co/image/ab67616d0000b2732f730ac5e319ace94749bbcf,https://open.spotify.com/album/3Kq7zsHEu1aueV2ukmjwKA
Presence of Mind,Dynazty,https://i.scdn.co/image/ab67616d0000b273edfc625def50f1f348a843c2,https://open.spotify.com/album/4j3AXVu1zUsav9FLHJVtxd
HELLOWEEN,Helloween,https://i.scdn.co/image/ab67616d0000b273c13e0af03a9207cc4d6c7424,https://open.spotify.com/album/6ZOpyAm1HCU9Z0aRSLMPnn
The Inevitable End,Manimal,https://i.scdn.co/image/ab67616d0000b2734206e934617dca3ee39e5fa8,https://open.spotify.com/album/14nCqNpoBt32m822qAyCsI
The Witch of the North,Burning Witches,https://i.scdn.co/image/ab67616d0000b273d7e473ff29e4c76f98fcc462,https://open.spotify.com/album/1P6qVXbuLcqJrVZpwoPGkX
Dangerous Ground,H.E.A.T,https://i.scdn.co/image/ab67616d0000b273f2328ca9b43c397e2b833c83,https://open.spotify.com/album/5ghPmOARm9W1mA04erYQfW
Now the Screaming Starts,Bloody Hammers,https://i.scdn.co/image/ab67616d0000b273bca8edd77040fe9957f6898e,https://open.spotify.com/album/4afU6LdO2FFF1ANLoGBrC8
Archangel,Amaranthe,https://i.scdn.co/image/ab67616d0000b2737c869b142b42643f56c23dc9,https://open.spotify.com/album/3nwMvp5aCT0IUYXNATk4b2
Demons Are A Girl's Best Friend,Powerwolf,https://i.scdn.co/image/ab67616d0000b2733eb8ba93ce1077f76eed387e,https://open.spotify.com/album/6SFftjmYjvGAvRa2k8WHWC
Heart of the Android,Orden Ogan,https://i.scdn.co/image/ab67616d0000b2731d4151d5aca554612edd45f9,https://open.spotify.com/album/6wDrfnlSydT3ZPcBjClH0l
Thunder Rising,Brother Firetribe,https://i.scdn.co/image/ab67616d0000b27370cafb4dd68348c533be8778,https://open.spotify.com/album/3cSc1fjJbqiefgFrxQtvyu
From Hell with Love,Beast In Black,https://i.scdn.co/image/ab67616d0000b2734959170cc823eeaba14d1430,https://open.spotify.com/album/3aT1PLgA6MomsX7MMlNRHr
The Undertaker,Accept,https://i.scdn.co/image/ab67616d0000b2733bb331ad475c2c074a24cc39,https://open.spotify.com/album/2Ik9ocKBxRseYSLsd6FAId
Rising Fire,Firewind,https://i.scdn.co/image/ab67616d0000b2735a51887602396179062bb297,https://open.spotify.com/album/4gGtBcTbf80l1PNvhgJXnx
