name,artist,cover_url,album_url,album_path
Painkiller,Judas-Priest,https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa,https://open.spotify.com/album/7LgrhuKnAXpNEv8qzcVd2t,metal/Painkiller-Judas-Priest.jpg
DAYWALKER! (feat. CORPSE),Machine-Gun-Kelly,https://i.scdn.co/image/ab67616d0000b273d61bd7979bfead643d7100b8,https://open.spotify.com/album/2y8j3djW8ZswvAbEcPBBti,metal/DAYWALKER!-(feat.-CORPSE)-Machine-Gun-Kelly.jpg
Toxicity,System-Of-A-Down,https://i.scdn.co/image/ab67616d0000b27328afd76e21eed9788506c40e,https://open.spotify.com/album/5AOu8nTJSHWiIDxPvcIDRF,metal/Toxicity-System-Of-A-Down.jpg
Paranoid (2009 Remastered Version),Black-Sabbath,https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d,https://open.spotify.com/album/132qAo1cDiEJdA3fv4xyNK,metal/Paranoid-(2009-Remastered-Version)-Black-Sabbath.jpg
Reign In Blood,Slayer,https://i.scdn.co/image/ab67616d0000b273fd833375c806981a61bb82ec,https://open.spotify.com/album/2DumvqHl78bNXuvU9kQfPN,metal/Reign-In-Blood-Slayer.jpg
Toxicity,System-Of-A-Down,https://i.scdn.co/image/ab67616d0000b2732c8ceb2f9b28109b36d07bc4,https://open.spotify.com/album/4DR0GWo7w2GJyQnFVa4jAB,metal/Toxicity-System-Of-A-Down.jpg
Ace of Spades (Expanded Edition),Motörhead,https://i.scdn.co/image/ab67616d0000b273bb7d33186e4a26421c6a77ae,https://open.spotify.com/album/3rxF05Aux0QTrN533Kjc91,metal/Ace-of-Spades-(Expanded-Edition)-Motörhead.jpg
American Capitalist (Standard),Five-Finger-Death-Punch,https://i.scdn.co/image/ab67616d0000b273598ff2eb89dfd88cce79dc33,https://open.spotify.com/album/18bHWmCOOKsAQSHdfFQ0WI,metal/American-Capitalist-(Standard)-Five-Finger-Death-Punch.jpg
Sehnsucht,Rammstein,https://i.scdn.co/image/ab67616d0000b27354cd52e1249f6a97d8f2ddc9,https://open.spotify.com/album/6f4dhaPfZqf2JXewAvE4gq,metal/Sehnsucht-Rammstein.jpg
Reign In Blood (Expanded),Slayer,https://i.scdn.co/image/ab67616d0000b2731530f31c8d4197777b70ee5d,https://open.spotify.com/album/5v5BfkxWDAKTkzrXl3H0mU,metal/Reign-In-Blood-(Expanded)-Slayer.jpg
