name,artist,cover_url,album_url
tystnar i luren,Miriam Bryant,https://i.scdn.co/image/ab67616d0000b273d06e1cd86df07741aaee871d,https://open.spotify.com/album/10QyE172YMGrTKqXDYfEUX
24K Magic,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA
Kiss Me More (feat. SZA),Doja Cat,https://i.scdn.co/image/ab67616d0000b273908280d9807127e185b71d56,https://open.spotify.com/album/1OnzqJTL9bwe4kvaLxRYxt
The Days / Nights,Avicii,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,https://open.spotify.com/album/0h2knr6qpiAq0tV5ri5JMF
Och vinnaren är...,Veronica Maggio,https://i.scdn.co/image/ab67616d0000b273b8f600439b138e7fdceb5c93,https://open.spotify.com/album/7K3z58HrZ2RJR2j82xWbsc
when was it over? (feat. Sam Hunt),Sasha Sloan,https://i.scdn.co/image/ab67616d0000b27303189e976a7033bd324d468b,https://open.spotify.com/album/3AgZTDS1wwPkLMs2HAcWjG
Breaking Me,Topic,https://i.scdn.co/image/ab67616d0000b273ca801dab96017456b9847ac2,https://open.spotify.com/album/3nBQlhUvErkw8DVpF47WAn
DOM SKA VETA,Molly Sandén,https://i.scdn.co/image/ab67616d0000b2736f406d7a7fb82c7db87027ee,https://open.spotify.com/album/48vIZKupNW6lDWwjCyCgeA
Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169,https://open.spotify.com/album/0UywfDKYlyiu1b38DRrzYD
En gång i tiden (del 2),Benjamin Ingrosso,https://i.scdn.co/image/ab67616d0000b2736b902bceec6cde3110f44c50,https://open.spotify.com/album/2D0NU2s1xrC8wGRkMrJUjP
Good Girl Gone Bad,Rihanna,https://i.scdn.co/image/ab67616d0000b273b9ff0a5f40d3406aed5e5e3b,https://open.spotify.com/album/4OXnPSBtZo8PBFiTOfuumP
Evolve,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,https://open.spotify.com/album/33pt9HBdGlAbRGBHQgsZsU
Kiss (Deluxe),Carly Rae Jepsen,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c,https://open.spotify.com/album/29blfJv8AddJrjuG3DpE13
September,James Arthur,https://i.scdn.co/image/ab67616d0000b273c1dd95aa29782af7e152d0eb,https://open.spotify.com/album/1gHwbB7Db9yJ7kASKJFSnc
Native,OneRepublic,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,https://open.spotify.com/album/20lOt6G8MHv8ZO7ViOmiP7
TALKING IS HARD,WALK THE MOON,https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3,https://open.spotify.com/album/3mNoFlD1wsoXfkljfFzExT
Satan i gatan (Bonus Version),Veronica Maggio,https://i.scdn.co/image/ab67616d0000b273de25b67688e3520e24612209,https://open.spotify.com/album/2fOs6I0CgvaZj9agU8EAlH
The Heist,Macklemore & Ryan Lewis,https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec,https://open.spotify.com/album/76FXHQhTuT4QMIxfL09gX8
Planet Her,Doja Cat,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,https://open.spotify.com/album/1nAQbHeOWTfQzbOoFrvndW
SOUR,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j
Dreamland (+ Bonus Levels),Glass Animals,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea,https://open.spotify.com/album/0KTj6k94XZh0c6IEMfxeWV
TOO YOUNG TO BE SAD,Tate McRae,https://i.scdn.co/image/ab67616d0000b2736c2b76e0d78170d577add561,https://open.spotify.com/album/1BaHo66NCQNx6ku0hPn9bR
Leave The Door Open,Bruno Mars,https://i.scdn.co/image/ab67616d0000b2736f9e6abbd6fa43ac3cdbeee0,https://open.spotify.com/album/7dfPqXck6BB9wpThrVYBss
F*CK LOVE (SAVAGE),The Kid LAROI,https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02,https://open.spotify.com/album/3YjfdLdpQcVI72uKhooZst
Voices,Tusse,https://i.scdn.co/image/ab67616d0000b273a59426ba90ee9b5632bdc270,https://open.spotify.com/album/55w4D3r62g4hmMVvpnVkSV
Fånga mig när jag faller,Victor Leksell,https://i.scdn.co/image/ab67616d0000b273fe883a93bfd94a14d0440ffe,https://open.spotify.com/album/3dXd7zPtfgASvaxo0jIAtu
Bara hälften kvar,Myra Granberg,https://i.scdn.co/image/ab67616d0000b273ae961059c6adacea3a71a4f7,https://open.spotify.com/album/2XOBT3JlFI2ouu3I3yVnVT
SE MIG,Veronica Maggio,https://i.scdn.co/image/ab67616d0000b273e6a0a860f7958c3bb05d34ee,https://open.spotify.com/album/1hH4uUsYGsiZBFi9XlzoX9
Bad Habits,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27314a5222ca8fdf13d5c050496,https://open.spotify.com/album/01NhUvviMytvV12pmJiDZH
Thriller 25 Super Deluxe Edition,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a
My Everything (Deluxe),Ariana Grande,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa,https://open.spotify.com/album/6EVYTRG1drKdO8OnIQBeEj
Demi,Demi Lovato,https://i.scdn.co/image/ab67616d0000b273aadb13ae608f6af20528409b,https://open.spotify.com/album/6Kssm2LosQ0WyLukFZkEG5
TIM,Avicii,https://i.scdn.co/image/ab67616d0000b273660ee24281a547103f466ff5,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ
Hot Pink,Doja Cat,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,https://open.spotify.com/album/1MmVkhiwTH0BkNOU3nw5d3
"He Loves Me, But...",Sofia Carson,https://i.scdn.co/image/ab67616d0000b273d5384f992501d8d124b8f4d5,https://open.spotify.com/album/33SWexPXgq6AQw5UFCMNym
Snälla bli min - Spotify Studio It's Hits Recording,Victor Leksell,https://i.scdn.co/image/ab67616d0000b2731a1a3a9952ba9d59433f463b,https://open.spotify.com/album/4lb6TvMkq5XG77Vdydcy4a
