name,artist,cover_url,album_url
Brothers (Deluxe Edition),The Black Keys,https://i.scdn.co/image/ab67616d0000b2738f5567f5c20e8d5882c37afa,https://open.spotify.com/album/0gVxPZ2tcMgyzLxyw8k1z7
Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,https://i.scdn.co/image/ab67616d0000b2737e42a53ea7f2ad4f36ab23a5,https://open.spotify.com/album/6TLTd0P2CUI0Q29AQ1LyFi
Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,https://i.scdn.co/image/ab67616d0000b2737676c7bf4e667590e496c2a3,https://open.spotify.com/album/4Io5vWtmV1rFj4yirKb4y4
Payphone Blues,Moon Fever,https://i.scdn.co/image/ab67616d0000b273bc19283a526c2b1a7c9bbefc,https://open.spotify.com/album/78Wl4JpIDtW4q3vkn7pWXE
Nevermind (Remastered),Nirvana,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,https://open.spotify.com/album/2guirTSEqLizK7j9i1MTTZ
Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70,https://open.spotify.com/album/30Perjew8HyGkdSmqguYyg
The Captain and Me,The Doobie Brothers,https://i.scdn.co/image/ab67616d0000b2737d419ac975423c069995c7bb,https://open.spotify.com/album/0M2KWMbvY5x1sUnIKNpyUt
The Rolling Stones In Mono (Remastered 2016),The Rolling Stones,https://i.scdn.co/image/ab67616d0000b2738d1570a03b9354518f0b618b,https://open.spotify.com/album/5nKpMsduwp5xqCKq2IbSKv
The Better Life - Deluxe Edition,3 Doors Down,https://i.scdn.co/image/ab67616d0000b273a9a6642f0f265090c8150282,https://open.spotify.com/album/6P77jds0hG6gVzUuIQVj7E
Who's Next (Deluxe Edition),The Who,https://i.scdn.co/image/ab67616d0000b27397922197e10d2a8dcb40eacf,https://open.spotify.com/album/5tqJNAjU163MfKLIP6DtYu
Toys In The Attic,Aerosmith,https://i.scdn.co/image/ab67616d0000b2739662c6535fb4bf5767e50f32,https://open.spotify.com/album/36IxIOGEBAXVozDSiVs09B
Veni Vidi Vicious,The Hives,https://i.scdn.co/image/ab67616d0000b2738f931b7eb4d5dc60b58a7938,https://open.spotify.com/album/4LIKns3pN21w48Yf4dA6eL
The Doors,The Doors,https://i.scdn.co/image/ab67616d0000b2735b96a8c5d61be8878452f8f1,https://open.spotify.com/album/1jWmEhn3ggaL6isoyLfwBn
Tres Hombres (Expanded 2006 Remaster),ZZ Top,https://i.scdn.co/image/ab67616d0000b2730fe2ec86a0ec561ef2e2aae1,https://open.spotify.com/album/0Em8m9kRctyH9S3MTXAHvY
Silent Alarm,Bloc Party,https://i.scdn.co/image/ab67616d0000b273ef8d4b16fe9b2a83891ae105,https://open.spotify.com/album/4KeTvCYCel3Ky58FirciWp
Straight Shooter,Bad Company,https://i.scdn.co/image/ab67616d0000b2739baa3a2390773faeca065aa8,https://open.spotify.com/album/1LgPUiosPMevbB4NHxcNiO
The Best Of The Animals,The Animals,https://i.scdn.co/image/ab67616d0000b2733748833f246466f02d2d4fc3,https://open.spotify.com/album/0h5qS8o0dAoPfj6bLg3z3Y
Highway 61 Revisited,Bob Dylan,https://i.scdn.co/image/ab67616d0000b273540a241e3001ddc276b9ab93,https://open.spotify.com/album/6YabPKtZAjxwyWbuO9p4ZD
Disraeli Gears (Deluxe Edition),Cream,https://i.scdn.co/image/ab67616d0000b273db1fb2dede292908e86d94d7,https://open.spotify.com/album/3W6CI0Lw7lElAPID2Fd3B4
Second Helping,Lynyrd Skynyrd,https://i.scdn.co/image/ab67616d0000b273bb1c0f2bc558a761eb2d7217,https://open.spotify.com/album/5rtOJsiDDjA9V5306cyTRS
Escape,Journey,https://i.scdn.co/image/ab67616d0000b273c5653f9038e42efad2f8a266,https://open.spotify.com/album/43wpzak9OmQfrjyksuGwp0
The Wall,Pink Floyd,https://i.scdn.co/image/ab67616d0000b273288d32d88a616b9a278ddc07,https://open.spotify.com/album/5Dbax7G8SWrP9xyzkOvy2F
Pearl (Legacy Edition),Janis Joplin,https://i.scdn.co/image/ab67616d0000b2736f8c26346723dd0531696bed,https://open.spotify.com/album/3j7nicLAWXM0Fb08q9XGyf
Hotel California (2013 Remaster),Eagles,https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778,https://open.spotify.com/album/2widuo17g5CEC66IbzveRu
The Joker,Steve Miller Band,https://i.scdn.co/image/ab67616d0000b27375da4b79907852f0c5d0cd9e,https://open.spotify.com/album/6jIR8ITF5YSa3i9ILvA9E1
Steppenwolf,Steppenwolf,https://i.scdn.co/image/ab67616d0000b273ec7e2c5c7ecd29301f1c4b93,https://open.spotify.com/album/6GLHwIp1K3u1zdLOdPRG0W
Buffalo Springfield,Buffalo Springfield,https://i.scdn.co/image/ab67616d0000b273d231bd1716b71b6444e25f89,https://open.spotify.com/album/3PkdGRruLnJ9zCtANiDrpB
Boston,Boston,https://i.scdn.co/image/ab67616d0000b273cbdeb4ed581e56ac25609357,https://open.spotify.com/album/01OahkTPRCleDjobtRk7ST
Dire Straits,Dire Straits,https://i.scdn.co/image/ab67616d0000b273c5a897378c8caf5cd11935a6,https://open.spotify.com/album/4dKdxly4ji1vfl7sEYuqBe
Surrealistic Pillow,Jefferson Airplane,https://i.scdn.co/image/ab67616d0000b2732dac7a01676ddb36c1d0ec05,https://open.spotify.com/album/6lPb7Eoon6QPbscWbMsk6a
Transformer,Lou Reed,https://i.scdn.co/image/ab67616d0000b273d55149748dca0e5a1f40778e,https://open.spotify.com/album/5SqbMEyAt8332ISGiLX0St
Dressed To Kill,KISS,https://i.scdn.co/image/ab67616d0000b27365a7b0a6969f0efcde4b5aca,https://open.spotify.com/album/1YCC4oZXg2zGn7pVSKVlGF
Moving Pictures (2011 Remaster),Rush,https://i.scdn.co/image/ab67616d0000b27372833c1ae3343cbfb4617073,https://open.spotify.com/album/2xg7iIKoSqaDNpDbJnyCjY
Greatest Hits II,Queen,https://i.scdn.co/image/ab67616d0000b273c12b6aa3d50150032e455286,https://open.spotify.com/album/7rq68qYz66mNdPfidhIEFa
Purple Rain,Prince,https://i.scdn.co/image/ab67616d0000b273d52bfb90ee8dfeda8378b99b,https://open.spotify.com/album/7nXJ5k4XgRj5OLg9m8V3zc
Synchronicity,The Police,https://i.scdn.co/image/ab67616d0000b273e7b53d0f9fb616521cdbfc03,https://open.spotify.com/album/7yDxJXFPl88Dt9kBo0dDD6
Agents Of Fortune,Blue Öyster Cult,https://i.scdn.co/image/ab67616d0000b2733ac318439ae56ce048d7bf5d,https://open.spotify.com/album/6C9WzlQANeoD0GW5B41YJt
America,America,https://i.scdn.co/image/ab67616d0000b273afb855e6461310dff4046c56,https://open.spotify.com/album/0E5IKYhiKgbYQkmfsFonbZ
Combat Rock (Remastered),The Clash,https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b,https://open.spotify.com/album/1ZH5g1RDq3GY1OvyD0w0s2
In Color,Cheap Trick,https://i.scdn.co/image/ab67616d0000b27357a0bca6d7da93cd0c551f6a,https://open.spotify.com/album/2sXJQdHykPYcRQ7xFhwzMR
Physical Graffiti (Deluxe Edition),Led Zeppelin,https://i.scdn.co/image/ab67616d0000b273765b0617b572bdd1dbdc7d8e,https://open.spotify.com/album/26tH0kjUhkxBEd3ipGkx3Y
Aerosmith,Aerosmith,https://i.scdn.co/image/ab67616d0000b273b11078ee23dcd99e085ac33e,https://open.spotify.com/album/19lEZSnCCbVEkKchoPQWDZ
